City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
535,Port Jervis,US,35.71,overcast clouds,41.3751,-74.6927,Days Inn
537,Irbil,IQ,59.4,light rain,36.1926,44.0106,Zakon Hotel
538,Coquimbo,CL,62.33,overcast clouds,-29.9533,-71.3436,Hotel Iberia
539,Talcahuano,CL,58.68,few clouds,-36.7167,-73.1167,Club Recreativo Armada de Chile
540,Flagstaff,US,35.26,clear sky,35.1981,-111.6513,Residence Inn
541,Ulverstone,AU,67.21,broken clouds,-41.15,146.1667,Furners Hotel
542,Zhangye,CN,14.94,overcast clouds,38.9342,100.4517,Zhangye Hotel 张掖饭店
544,Nishihara,JP,71.26,broken clouds,26.1842,127.7558,ユインチホテル南城
548,Sarkikaraagac,TR,43.29,clear sky,38.0794,31.3664,Otel Korkusuz
552,Sioux Lookout,CA,19.47,overcast clouds,50.1001,-91.917,Wellington Inn & Restaurant
557,Moerai,PF,74.8,clear sky,-22.4333,-151.3333,Manotel Rurutu
558,Caledon,ZA,62.06,clear sky,-34.23,19.4265,The Caledon Hotel & Spa
559,La Palma,US,57.87,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
560,Manado,ID,84.97,scattered clouds,1.487,124.8455,Swiss Belhotel
561,Seguin,US,67.39,clear sky,29.5688,-97.9647,La Quinta Inn
562,Alcantara,BR,79.0,overcast clouds,-2.4089,-44.4147,Pousada La Maison du Baron
565,Ballyhaunis,IE,45.79,overcast clouds,53.7667,-8.7667,Courthouse
566,Den Helder,NL,46.02,mist,52.9599,4.7593,Forest Hotel
567,Hambantota,LK,80.94,scattered clouds,6.1241,81.1185,Oasis Aurweda Resort Hambathota
568,Olga,RU,13.57,scattered clouds,43.7444,135.2892,гостиница РосМорПорта
572,Akhmeta,GE,45.12,overcast clouds,42.0311,45.2075,სასტუმრო
573,Jijiga,ET,56.44,clear sky,9.35,42.8,Africa Hotel
575,The Valley,AI,79.83,clear sky,18.217,-63.0578,CeBlue
